name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
Luís Oyama,Defensive Midfield,25,2.0,Brazil,Série A,Botafogo de Futebol e Regatas,Belgium,Challenger Pro League,RWD Molenbeek,0,True
Ian Poveda,Right Winger,22,2.0,England,Premier League,Leeds United,England,Championship,Blackpool FC,0,True
Youssouf Koné,Left-Back,27,2.0,France,Ligue 1,Olympique Lyon,France,Ligue 1,AC Ajaccio,0,True
Mateusz Zukowski,Right-Back,20,2.0,Scotland,Premiership,Rangers FC,Poland,Ekstraklasa,Lech Poznan,0,True
Filippo Melegoni,Central Midfield,23,2.0,Italy,Serie B,Genoa CFC,Belgium,Jupiler Pro League,Standard Liège,0,True
Darko Velkovski,Centre-Back,27,2.0,Croatia,SuperSport HNL,HNK Rijeka,Saudi Arabia,Professional League,Ettifaq FC,0,False
Luca Zidane,Goalkeeper,24,2.0,Spain,LaLiga,Rayo Vallecano,Spain,LaLiga2,SD Eibar,0,False
Mateo Klimowicz,Attacking Midfield,22,2.0,Germany,Bundesliga,VfB Stuttgart,Germany,2. Bundesliga,Arminia Bielefeld,0,True
Ibrahim Amadou,Defensive Midfield,29,2.0,France,Ligue 2,FC Metz,France,Ligue 1,Angers SCO,0,False
Jean-Daniel Akpa Akpro,Central Midfield,29,2.0,Italy,Serie A,SS Lazio,Italy,Serie A,FC Empoli,0,True
Paulo Gazzaniga,Goalkeeper,30,2.0,England,Premier League,Fulham FC,Spain,LaLiga,Girona FC,0,True
Gianluca Frabotta,Left-Back,23,2.0,Italy,Serie A,US Lecce,Italy,Serie B,Frosinone Calcio,0,True
Bruno Amione,Centre-Back,20,2.0,Italy,Serie A,Hellas Verona,Italy,Serie A,UC Sampdoria,0,True
Maxime Leverbe,Centre-Back,25,2.0,Italy,Serie A,UC Sampdoria,Italy,Serie B,Benevento Calcio,0,True
Rober González,Right Winger,21,2.0,Spain,LaLiga,Real Betis Balompié,Spain,LaLiga2,Deportivo Alavés,0,True
Josh Koroma,Centre-Forward,23,2.0,England,Championship,Huddersfield Town,England,League One,Portsmouth FC,0,True
Josh Bowler,Right Winger,23,2.0,England,Premier League,Nottingham Forest,Greece,Super League 1,Olympiacos Piraeus,0,True
Pierre Dwomoh,Central Midfield,18,2.0,Belgium,Jupiler Pro League,Royal Antwerp FC,Portugal,Without League,SC Braga B,0,True
Mubarak Wakaso,Central Midfield,32,2.0,China,Super League,Shenzhen FC,Belgium,Jupiler Pro League,KAS Eupen,0,True
Jan Vertonghen,Centre-Back,35,2.0,Portugal,Liga Portugal,SL Benfica,Belgium,Jupiler Pro League,RSC Anderlecht,0,False
Lautaro Blanco,Left-Back,23,1.5,Argentina,Liga Profesional,CA Rosario Central,Spain,LaLiga,Elche CF,1.96,False
Nilson Angulo,Centre-Forward,19,1.5,Ecuador,Serie A Segunda Etapa,LDU Quito,Belgium,Jupiler Pro League,RSC Anderlecht,1.9,False
Ilias Koutsoupias,Central Midfield,21,1.9,Italy,Serie C - B,Virtus Entella,Italy,Serie B,Benevento Calcio,0.75,True
Domagoj Vida,Centre-Back,33,1.9,Turkey,Süper Lig,Besiktas JK,Greece,Super League 1,AEK Athens,0,False
Luke McNally,Centre-Back,22,0,England,League One,Oxford United,England,Championship,Burnley FC,1.85,False
Mender García,Centre-Forward,23,0.5,Colombia,Liga DIMAYOR II,Once Caldas,United States,MLS,Minnesota United FC,1.82,False
Adalberto Carrasquilla,Central Midfield,23,1.0,Spain,LaLiga2,FC Cartagena,United States,MLS,Houston Dynamo FC,1.82,False
Shaq Moore,Right-Back,25,0.8,Spain,LaLiga2,CD Tenerife,United States,MLS,Nashville SC,1.82,False
Lovro Zvonarek,Attacking Midfield,17,1.5,Croatia,SuperSport HNL,Slaven Belupo Koprivnica,Germany,Regionalliga Bayern,FC Bayern Munich II,1.8,False
Aliou Badji,Centre-Forward,24,1.8,Egypt,Premier League,El Ahly Cairo,France,Ligue 2,Amiens SC,1.8,False
Nicolás Quagliata,Left Winger,23,0.8,Uruguay,Primera División,Montevideo Wanderers,Greece,Super League 1,PAOK Thessaloniki,1.8,False
Maksim Glushenkov,Centre-Forward,22,1.8,Russia,Premier Liga,Spartak Moscow,Russia,Premier Liga,Krylya Sovetov Samara,1.8,False
Guilherme Castilho,Central Midfield,22,1.0,Brazil,Série A,Clube Atlético Mineiro,Brazil,Série A,Ceará Sporting Club,1.8,False
Bogdan Planic,Centre-Back,30,0.7,Israel,Ligat ha'Al,Maccabi Haifa,United Arab Emirates,UAE Pro League,FC Shabab Al-Ahli Dubai,1.8,False
Pep Chavarría,Left-Back,24,0.8,Spain,LaLiga2,Real Zaragoza,Spain,LaLiga,Rayo Vallecano,1.8,False
Nonato,Central Midfield,24,1.8,Brazil,Série A,Sport Club Internacional,Bulgaria,efbet Liga,Ludogorets Razgrad,1.7,False
Frantzdy Pierrot,Centre-Forward,27,1.8,France,Ligue 2,EA Guingamp,Israel,Ligat ha'Al,Maccabi Haifa,1.6,False
Florian Krüger,Centre-Forward,23,1.8,Germany,2. Bundesliga,Arminia Bielefeld,Netherlands,Eredivisie,FC Groningen,1.3,False
César Falletti,Attacking Midfield,29,1.8,Italy,Serie A,Bologna FC 1909,Italy,Serie B,Ternana Calcio,1.2,False
Vladislav Sarveli,Centre-Forward,24,1.8,Russia,Premier Liga,Krylya Sovetov Samara,Russia,Premier Liga,FC Sochi,1.2,False
Marcos López,Left-Back,22,1.8,United States,MLS,San Jose Earthquakes,Netherlands,Eredivisie,Feyenoord Rotterdam,1.2,False
Yago Pikachu,Right Midfield,30,1.8,Brazil,Série A,Fortaleza Esporte Clube,Japan,J1 League,Shimizu S-Pulse,0.8,False
Johannes Eggestein,Centre-Forward,24,1.8,Belgium,Jupiler Pro League,Royal Antwerp FC,Germany,2. Bundesliga,FC St. Pauli,0.6,False
Nikola Soldo,Centre-Back,21,1.8,Croatia,SuperSport HNL,NK Lokomotiva Zagreb,Germany,Bundesliga,1. FC Köln,0.5,False
Rodrigues,Centre-Back,24,1.8,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,United States,MLS,San Jose Earthquakes,0.455,True
Joan Sastre,Right-Back,25,1.8,Spain,LaLiga,RCD Mallorca,Greece,Super League 1,PAOK Thessaloniki,0.4,False
Bartosz Nowak,Attacking Midfield,28,1.8,Poland,Ekstraklasa,Górnik Zabrze,Poland,Ekstraklasa,Rakow Czestochowa,0.4,False
Lukasz Poreba,Defensive Midfield,22,1.8,Poland,Ekstraklasa,Zaglebie Lubin,France,Ligue 1,RC Lens,0.35,False
Theocharis Tsingaras,Central Midfield,22,1.8,Greece,Super League 1,PAOK Thessaloniki,France,Ligue 1,FC Toulouse,0.3,True
Konstantinos Stafylidis,Left-Back,28,1.8,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,VfL Bochum,0.25,False
Aymen Barkok,Central Midfield,24,1.8,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,0,False
Ibrahim Sissoko,Centre-Forward,26,1.8,France,Ligue 2,Chamois Niortais FC,France,Ligue 2,FC Sochaux-Montbéliard,0,False
Arnaud Lusamba,Central Midfield,25,1.8,France,Ligue 2,Amiens SC,Turkey,Süper Lig,Alanyaspor,0,False
Tommy Smith,Right-Back,30,1.8,England,Championship,Stoke City,England,Championship,Middlesbrough FC,0,False
Max Besuschkow,Central Midfield,25,1.8,Germany,2. Bundesliga,SSV Jahn Regensburg,Germany,2. Bundesliga,Hannover 96,0,False
Louis Schaub,Attacking Midfield,27,1.8,Germany,Bundesliga,1. FC Köln,Germany,2. Bundesliga,Hannover 96,0,False
Dylan Louiserre,Defensive Midfield,27,1.8,France,Ligue 2,Chamois Niortais FC,France,Ligue 2,EA Guingamp,0,False
Linton Maina,Right Winger,23,1.8,Germany,2. Bundesliga,Hannover 96,Germany,Bundesliga,1. FC Köln,0,False
Fayçal Fajr,Central Midfield,33,1.8,Turkey,Süper Lig,Sivasspor,Saudi Arabia,Professional League,Al-Wehda FC,0,False
Andrés Mosquera,Centre-Back,32,1.8,Mexico,Liga MX Apertura,Club León FC,Mexico,Liga MX Apertura,Deportivo Toluca,0,False
Awer Mabil,Left Winger,26,1.8,Denmark,Superligaen,FC Midtjylland,Spain,LaLiga,Cádiz CF,0,False
Erik Thommy,Left Midfield,27,1.8,Germany,Bundesliga,VfB Stuttgart,United States,MLS,Sporting Kansas City,0,False
Kévin Rodrigues,Left-Back,28,1.8,Spain,LaLiga,Real Sociedad,Turkey,Süper Lig,Adana Demirspor,0,False
Tudor Baluta,Defensive Midfield,23,1.8,England,Premier League,Brighton & Hove Albion,Romania,SuperLiga,FCV Farul Constanta,0,False
Braian Samudio,Left Winger,26,1.8,Mexico,Liga MX Apertura,Deportivo Toluca,Paraguay,Primera División Clausura,Club Cerro Porteño,0,True
Tobias Figueiredo,Centre-Back,28,1.8,England,Premier League,Nottingham Forest,England,Championship,Hull City,0,False
Lazar Markovic,Right Winger,28,1.8,Serbia,Super liga Srbije,FK Partizan Belgrade,Turkey,Süper Lig,Gaziantep FK,0,False
Fatih Kurucuk,Centre-Back,24,1.8,Turkey,Süper Lig,Hatayspor,Turkey,1.Lig,Bandirmaspor,0,False
Nery Domínguez,Centre-Back,32,1.8,Argentina,Liga Profesional,Racing Club,Chile,Primera División,Club Universidad de Chile,0,False
Pape Cheikh,Central Midfield,24,1.8,France,Ligue 1,Olympique Lyon,Greece,Super League 1,Aris Thessaloniki,0,False
Badou Ndiaye,Central Midfield,31,1.8,Greece,Super League 1,Aris Thessaloniki,Turkey,Süper Lig,Adana Demirspor,0,False
Juraj Kucka,Central Midfield,35,1.8,Italy,Serie B,Parma Calcio 1913,Slovakia,Fortuna Liga,Slovan Bratislava,0,False
Carlens Arcus,Right-Back,26,1.8,France,Ligue 1,AJ Auxerre,Netherlands,Eredivisie,Vitesse Arnhem,0,False
Sikou Niakaté,Centre-Back,22,1.8,France,Ligue 2,EA Guingamp,Portugal,Liga Portugal,SC Braga,0,True
Sergio Escudero,Left-Back,32,1.8,Spain,LaLiga2,Granada CF,Spain,LaLiga,Real Valladolid CF,0,False
Maxime Gonalons,Defensive Midfield,33,1.8,Spain,LaLiga2,Granada CF,France,Ligue 1,Clermont Foot 63,0,False
Juan Cazares,Attacking Midfield,30,1.8,Ukraine,Premier Liga,Metalist Kharkiv,Argentina,Liga Profesional,Club Atlético Independiente,0,False
Stefan Bajic,Goalkeeper,20,1.8,France,Ligue 2,Pau FC,England,Championship,Bristol City,0,False
Conor Hourihane,Central Midfield,31,1.8,England,Premier League,Aston Villa,England,League One,Derby County,0,False
Josh Murphy,Left Winger,27,1.8,Wales,Championship,Cardiff City,England,League One,Oxford United,0,False
Marko Jevtovic,Defensive Midfield,28,1.8,Serbia,Super liga Srbije,FK Partizan Belgrade,Turkey,Süper Lig,Gaziantep FK,0,False
Przemyslaw Placheta,Left Winger,24,1.8,England,Championship,Norwich City,England,Championship,Birmingham City,0,True
Vlad Chiriches,Centre-Back,32,1.8,Italy,Serie A,US Sassuolo,Italy,Serie A,US Cremonese,0,False
Jemal Tabidze,Centre-Back,26,1.8,Belgium,Jupiler Pro League,KV Kortrijk,Georgia,Crystalbet Erovnuli Liga,Dinamo Tbilisi,0,False
Carlos Eduardo,Attacking Midfield,32,1.8,Saudi Arabia,Without League,Al-Ahli Saudi FC,Brazil,Série A,Botafogo de Futebol e Regatas,0,False
Ciaran Clark,Centre-Back,32,1.8,England,Premier League,Newcastle United,England,Championship,Sheffield United,0,True
Stefano Gori,Goalkeeper,26,1.8,Italy,Serie A,Juventus FC,Italy,Serie B,AC Perugia Calcio,0,True
Mesut Özil,Attacking Midfield,33,1.8,Turkey,Süper Lig,Fenerbahce,Turkey,Süper Lig,Basaksehir FK,0,False
Andrés Felipe Román,Right-Back,26,1.8,Colombia,Liga DIMAYOR II,Millonarios FC,Colombia,Liga DIMAYOR II,Atlético Nacional,0,False
Simon Gustafson,Central Midfield,27,1.8,Netherlands,Eredivisie,FC Utrecht,Sweden,Allsvenskan,BK Häcken,0,False
Kristoffer Askildsen,Central Midfield,21,1.8,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Lecce,0,True
Jorge Miramón,Right-Back,33,1.8,Spain,LaLiga2,Levante UD,Spain,LaLiga2,CD Leganés,0,False
Filippo Ranocchia,Central Midfield,21,1.8,Italy,Serie A,Juventus FC,Italy,Serie A,AC Monza,0,True
Peglow,Left Winger,20,1.8,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Atlético Clube Goianiense,0,True
Jannes Horn,Left-Back,25,1.8,Germany,Bundesliga,1. FC Köln,Germany,Bundesliga,VfL Bochum,0,False
David López,Centre-Back,32,1.8,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,Girona FC,0,False
Jonathan Silva,Left-Back,28,1.8,Spain,LaLiga,Getafe CF,Spain,LaLiga2,Granada CF,0,True
Erick Cabaco,Centre-Back,27,1.8,Spain,LaLiga,Getafe CF,Spain,LaLiga2,Granada CF,0,True
Yoann Barbet,Centre-Back,29,1.8,England,Championship,Queens Park Rangers,France,Ligue 2,FC Girondins Bordeaux,0,False
Rodrigo Battaglia,Defensive Midfield,31,1.8,Portugal,Liga Portugal,Sporting CP,Spain,LaLiga,RCD Mallorca,0,False
Olivier Thill,Attacking Midfield,25,1.8,Ukraine,Premier Liga,Vorskla Poltava,Turkey,1.Lig,Eyüpspor,0,False
Jorrit Hendrix,Defensive Midfield,27,1.8,Russia,Premier Liga,Spartak Moscow,Germany,2. Bundesliga,Fortuna Düsseldorf,0,False
Nathan Tella,Right Winger,23,1.8,England,Premier League,Southampton FC,England,Championship,Burnley FC,0,True
Caio Vidal,Right Winger,21,1.8,Brazil,Série A,Sport Club Internacional,Brazil,Série B,Esporte Clube Bahia,0,True
Clément Michelin,Right-Back,25,1.8,Greece,Super League 1,AEK Athens,France,Ligue 2,FC Girondins Bordeaux,0,True
Enzo Crivelli,Centre-Forward,27,1.8,Turkey,Süper Lig,Basaksehir FK,Switzerland,Super League,Servette FC,0,False
Bastien Toma,Central Midfield,23,1.8,Belgium,Jupiler Pro League,KRC Genk,Portugal,Liga Portugal,FC Paços de Ferreira,0,True
Anderson Lucoqui,Left-Back,25,1.8,Germany,Bundesliga,1.FSV Mainz 05,Germany,2. Bundesliga,FC Hansa Rostock,0,True
Filip Benkovic,Centre-Back,25,1.8,Italy,Serie A,Udinese Calcio,Germany,2. Bundesliga,Eintracht Braunschweig,0,True
Matty Longstaff,Central Midfield,22,1.8,England,Premier League,Newcastle United,England,League Two,Colchester United,0,True
Aliou Badji,Centre-Forward,24,1.8,France,Ligue 2,Amiens SC,France,Ligue 2,FC Girondins Bordeaux,0,True
Boubacar Traoré,Central Midfield,21,1.8,France,Ligue 2,FC Metz,England,Premier League,Wolverhampton Wanderers,0,True
Alan Rodríguez,Central Midfield,22,0.7,Uruguay,Primera División,CA Boston River,Argentina,Liga Profesional,AA Argentinos Juniors,1.75,False
Dominic Hyam,Centre-Back,26,1.2,England,Championship,Coventry City,England,Championship,Blackburn Rovers,1.75,False
Juan David Mosquera,Right-Back,19,1.0,Colombia,Liga DIMAYOR II,Independiente Medellín,United States,MLS,Portland Timbers,1.73,False
Badr Benoun,Centre-Back,28,1.5,Egypt,Premier League,El Ahly Cairo,Qatar,Stars League,Qatar SC,1.7,False
David Miculescu,Right Winger,21,1.2,Romania,SuperLiga,UTA Arad,Romania,SuperLiga,FCSB,1.7,False
Joaquín Sosa,Centre-Back,20,0.5,Uruguay,Primera División,Club Nacional,Italy,Serie A,Bologna FC 1909,1.7,False
Lukas Haraslin,Left Winger,26,1.7,Italy,Serie A,US Sassuolo,Czech Republic,Fortuna Liga,AC Sparta Prague,1.5,False
Gelson Dala,Centre-Forward,25,1.7,Portugal,Liga Portugal,Rio Ave FC,Qatar,Stars League,Al-Wakrah SC,1.5,False
Francesco Forte,Centre-Forward,29,1.7,Italy,Serie B,Venezia FC,Italy,Serie B,Benevento Calcio,1.2,False
Stipe Perica,Centre-Forward,27,1.7,Israel,Ligat ha'Al,Maccabi Tel Aviv,Belgium,Jupiler Pro League,Standard Liège,0.9,False
Mario Gargiulo,Central Midfield,26,1.7,Italy,Serie A,US Lecce,Italy,Serie B,Modena FC,0.75,False
Jacob Barrett Laursen,Left-Back,27,1.7,Germany,2. Bundesliga,Arminia Bielefeld,Belgium,Jupiler Pro League,Standard Liège,0.75,False
Guy Mbenza,Centre-Forward,22,1.7,Belgium,Jupiler Pro League,Royal Antwerp FC,Saudi Arabia,Professional League,Al-Tai,0.7,False
Konrad Michalak,Right Winger,24,1.7,Russia,Premier Liga,Akhmat Grozny,Turkey,Süper Lig,Konyaspor,0.5,False
Facundo Ferreyra,Centre-Forward,31,1.7,Mexico,Liga MX Apertura,Club Tijuana,Argentina,Liga Profesional,Club Atlético Independiente,0.196,True
Emre Mor,Right Winger,24,1.7,Spain,LaLiga,Celta de Vigo,Turkey,Süper Lig,Fatih Karagümrük,0,False
Rafal Augustyniak,Defensive Midfield,28,1.7,Russia,Premier Liga,Ural Yekaterinburg,Poland,Ekstraklasa,Legia Warszawa,0,False
Raphael Holzhauser,Attacking Midfield,29,1.7,Belgium,Challenger Pro League,Beerschot V.A.,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,0,False
Nathaniel Mendez-Laing,Right Winger,30,1.7,England,League One,Sheffield Wednesday,England,League One,Derby County,0,False
Patrick Pentz,Goalkeeper,25,1.7,Austria,Bundesliga,Austria Vienna,France,Ligue 1,Stade Reims,0,False
Alessio Da Cruz,Attacking Midfield,25,1.7,Italy,Serie B,Parma Calcio 1913,Belgium,Jupiler Pro League,KV Mechelen,0,False
